page,year,case_name,jurisdiction,fidic_books,summary,link_label,link
9,2024,"A consortium of contractors v Centralny Port Komunikacyjny, National Appeal Chamber of Poland, 16 September 2024, KIO 2835/24 and KIO 2844/24","National Board of Appeals, Poland",1999 Red,"This is a Polish judgment in the National Appeal Chamber (the Chamber), centring on a contract for the construction of a long-distance tunnel in Łódź, Poland. The Centralny Port Komunikacyjny (the Employer), published a procurement notice for the project, in line with statutory law. However, following actions and omissions by the Employer in the procurement process, two contractors, Strabag and Porr (together, 'the Contractors') filed separate appeals objecting to several provisions of the procurement documentation and the draft agreement. These appeals were combined for joint consideration by the National Appeal Chamber. Strabag appealed on the grounds that: - the Employer had violated various provisions of the Civil Code and Public Procurement Law by introducing restrictive and unfair terms in the contract, such as the limitation of indirect costs to those incurred exclusively in Poland, and the requirement to attach source documents to cost calculations. - the Employer had incorrectly interpreted and applied EU sanctions regulations, particularly the 10% threshold for services provided by entities covered by sanctions. Strabag argued that the threshold should apply individually to each entity rather than collectively. - the Employer's right to unilaterally change the template of the declaration in unspecified ""justified"" situations was unfair and applied incorrectly. Porr appealed on the grounds that: - various provisions of the draft agreement, including those related to remuneration, indexation, and the acceptance of works, were unclear, imprecise, and grossly unfavourable to contractors. - there were concerns about the suspension of performance and the coverage of costs during such periods. Porr requested amendments to the contract to ensure that the contractor's costs during suspension periods are covered from the first day of suspension. - the possibility of limiting the scope of the order without specifying the minimum size or value was unfair and Porr requested that the ordering party specify the minimum size or value of the parties' performance. - the criteria for accepting performance security in the form of a bank or insurance guarantee were too restrictive and should be amended to allow more flexibility. The Chamber partially upheld the appeals, ordering amendments to certain contract provisions to ensure compliance with legal standards. Notably, the Chamber ruled that the 10% threshold for services provided by entities covered by sanctions should apply individually to each entity, rather than collectively. The Chamber also addressed issues related to the suspension of performance and the scope of the order, ensuring that the Contractors' costs during suspension periods were covered and specifying the minimum size or value of the parties' performance. The Chamber's findings emphasized the importance of fair competition, equal treatment of contractors, and transparency in public procurement processes. The judgment resulted in several amendments to the contract provisions to align them with legal requirements and principles of social coexistence.",No link available,
9,2024,MER Sint Maarten BV v. Sint Maarten Telephone Company NV (13 September 2024),High Council of the Netherlands,1999 Yellow,"The Supreme Court dismissed the respondent's appeal against a decision to enforce an international arbitration award in favour of the claimant. The Supreme Court did not provide detailed reasoning for its decision, citing that the appeal did not raise questions significant enough to warrant a detailed legal analysis. The respondent was ordered to pay legal costs to the claimant.",Link*,https://jusmundi.com/en/document/decision/nl-mer-sint-maarten-bv-v-sint-maarten-telephone-company-nv-uitspraak-van-de-hoge-raad-der-nederlanden-friday-13th-september-2024
9,2024,"Cardno Middle East Limited v. Central Bank of Iraq, Judgment of the Amsterdam Court of Appeal - 9 Sept 2024 (Case no. 200.333.036/01)",Amsterdam Court of Appeal,2006 White,"Judgment by Court of Appeal relating to a request for enforcement of an 2023 ICC Award (also shown in table: see below). The Court of Appeal ruled in favor of Cardno in its request to recognize and enforce an arbitral award against the Central Bank of Iraq (CBI). The court rejected CBI's arguments for refusing the exequatur, including claims of material and procedural fraud and violation of public order. The court also denied CBI's request for a stay of proceedings pending the outcome of a French annulment procedure. As a result, the court granted Cardno's request for recognition and enforcement of the arbitral award and ordered CBI to pay the costs of the proceedings.",Link*,https://jusmundi.com/en/document/decision/nl-cardno-me-limited-v-central-bank-of-iraq-uitspraak-van-het-gerechtshof-in-amsterdam-monday-9th-september-2024
10,2024,"DJP, DJQ and DJR v. DJO, ICC Case No. 26733/HTG, [2024] SGHC(I) 24, 15 August 2024, now cited as IRCON International Ltd., Mitsui & Co., Ltd. and Tata Projects Ltd. v. Dedicated Freight Corridor Corporation of India (II), ICC Case No. 26733/HTG Judgment of the Singapore International Commercial Court [2024] SGHC(I) 24 - 15 Aug 2024",Singapore International Commercial Court,1999 Red,"Judgment of an appeal to set aside a final award in its entirety on the basis of breach of natural justice. The arbitration was seated in Singapore (the ""Arbitration"") which ran in parallel with two other arbitrations, seated in India - the CP-301 and CP-302 arbitrations. The subject matter of these three proceedings were broadly similar, insofar as it related to a similar notification about an increase in daily rates for minimum wages payable by the Indian Ministry of Labour. Each of the three proceedings had a three-member arbitral tribunal, and the presiding arbitrator (Judge C) of the Arbitration was the presiding arbitrator in all three arbitrations, and therefore fully aware of and immersed in the underlying facts and issues in the two parallel proceedings whilst presiding over the Arbitration. The tribunal elected to use the CP-301 award as a template for the award in the Arbitration. It was evident to the parties that Judge C drew heavily upon and applied his knowledge acquired from the parallel proceedings to the writing of the award of the Arbitration. DJO highlighted the following: (1) the tribunal placed weight on submissions in the earlier arbitrations and did not restrict itself to the submissions made in the Arbitration; (2) drew upon authorities not cited in the earlier arbitrations which were not cited in the Arbitration; (3) recited and relied upon provisions in the CP-301 contract that were not found in the CPT-13 contract; (4) applied the wrong lex arbitri to the assessment of interest and costs; and (5) failed to properly consider the appropriate and certain unique issues to the Arbitration. The main issue for DJO was the scale, scope and source of the cut-and-pasting. The applicant asserted four breaches of natural justice in the making of the award – (1) impermissible pre-judging of the case; (2) the copious copy-and-pasting deprived it of its right to a fair, independent and impartial award; (3) breached its right to a fair hearing which requires a tribunal to deal with the dispute before it; and (4) by lifting the reasoning of the parallel proceedings, the tribunal breach the right to a fair hearing which prevents a tribunal form relying on factual or legal reasoning that has not been canvassed before it without giving the parties the opportunity to respond thereto. Consortium X reasoned that the real issue was whether or not the tribunal applied its mind to the essential issues in the Arbitration, and asserted that the tribunal did do so. The Court concluded that the Award was made in breach of natural justice and was therefore liable to be set aside on that ground.",Link*,https://jusmundi.com/en/document/decision/en-djp-djq-and-djr-v-djo-judgment-of-the-singapore-international-commercial-court-2024-sghc-i-24-thursday-15th-august-2024
10,2024,Estim Construction Company Limited v The Board of Trustees of The Public Service Social Security Fund and others (Misc. Civil Case No. 14463 Of 2024) [2024] TZHC 7354 (13 August 2024),"High Court of Tanzania, at Dar es Salaam",1999 Yellow,"Application to amend a Statement of Defence to include a counterclaim and to adduce facts and evidence in same matter reported on above on this table, dated 25 November 2024. The application was dismissed on grounds that it lacked merit and did not pass the required statutory test.",Link,https://tanzlii.org/akn/tz/judgment/tzhc/2024/7354/eng@2024-08-13
10,2024,"MER Sint Maarten BV v. Sint Maarten Telephone Company NV, 25 July 2024",Court of First Instance of Sint Maarten,1999 Yellow,"Combined judgment of two summary proceedings brought by (1) TELEM (following the Amsterdam Court of Appeal's judgment of 06 February 2024), seeking an order to lift the attachments opposed on TELEM by MER and to prohibit MER from further attachment and levying; and (2) enforcement by MER, for the third-party attachments placed against it by TELEM's subcontractors to be lifted and the blocking effects of the attachments to be limited to the part of MER's claim against Telem or at least an amount to be determined in good justice, and for a prohibition on TELEM's subcontractors from seizures and further attachments. MER's primary claim was dismissed (and attachments not lifted) on the basis that the subcontractors still had an interest in collecting their claims. The court, however, held that insofar as the standards of reasonableness and fairness were concerned, the position taken by TELEM and the subcontractors in these proceedings amounted to an unacceptable appeal with a blocking effect. Least not, given TELEM's failed attempts to have the award and enforcement set aside and that the enforceability of the award has not been impeded by TELEM's appeals in cassation. The subcontractors agreed or at least failed to object to conditions included by TELEM in its third-party attachment declarations, which the court held were severely damaging to MER. Contrarily, MER has taken into account the interests of the subcontractors, and the subcontractors did not respond to requests from MER to find a joint solution. The court, weighing the interests of the parties, ordered (1) the subcontractor's third-party attachment claims to be limited; (2) dismissal of TELEM's claim given the aforesaid restrictions which rendered TELEM without an interest in its claim; and (3) TELEM and the subcontractors to pay MER's legal costs.",Link*,https://jusmundi.com/en/document/decision/nl-mer-sint-maarten-bv-v-sint-maarten-telephone-company-nv-uitspraak-van-het-gerecht-in-eerste-aanleg-van-sint-maarten-thursday-25th-july-2024#decision_67016
10,2024,"Marymatha Infrastructure Private Ltd vs State Of Kerala, 5 July 2024, WP(C) No. 28012 of 2020","High Court of Kerala at Ernakulam, India",Not specified,"Judgment of a writ petition, challenging the Employer's order (Ext. P24) to the extent that it imposes a fine for the extension of time. The dispute centred on a contract to build a flyover at one of the busiest junctions in the state. The contractor sought an extension of time for completion, citing COVID-19 and associated reasons as the cause for delay, to which the employer agreed subject to payment of a fine. The Contractor argued that the Employer had no authority to grant an extension of time, and therefore no authority to impose a fine. The Contractor further asserted that pursuant to Sub-Clause 44.1 the authority for determining an extension of time rests with the Engineer alone, and not the Employer. The Employer argued that pursuant to Sub-Clause 2.1 the Engineer cannot independently decide with respect to an extension of time and that the Engineer should obtain specific approval from the Employer before exercising any authority. The court held that Sub-Clause 2.1 is not applicable to Sub-Clause 44.1, and that the P24 order was therefore issued by the Employer without the necessary authority. The court set aside P24 and directed the Engineer to take the appropriate steps to make a determination.",Link,https://indiankanoon.org/doc/137810805/
10,2024,"MER Sint Maarten BV v. Sint Maarten Telephone Company NV, 21 June 2024",Advice of the Attorney General at the Supreme Court of the Netherlands,1999 Yellow,"Advice of the Attorney General at the Supreme Court of the Netherlands, for an appeal in cassation brought by TELEM raising various complaints, following its unsuccessful appeal - see judgment of 06 February 2024 above. The Attorney General's conclusion was that the appeal in cassation should be rejected The Attorney General discussed further legal and motivational complaints raised by TELEM, all of which were dismissed. In particular, it was noted that the Court of Appeal was right to apply the standard (concerning enforcement) in accordance with Article 36 Model Law, i.e., that when assessing a request for recognition of enforcement the court must refrain from re-examining the case, and the case for refusal must be interpreted strictly.",Link*,https://jusmundi.com/en/document/decision/nl-mer-sint-maarten-bv-v-sint-maarten-telephone-company-nv-advies-van-de-procureur-generaal-bij-de-hoge-raad-der-nederlanden-friday-21st-june-2024#decision_67264
10,2024,"Marymatha Infrastructure Pvt. Ltd vs Roads & Bridges Development Corporation of Kerala Ltd on 21 June, 2024, WP(C) NO. 12353 OF 2021","High Court of Kerala at Ernakulam, India",Red (Year not specified),"Petition to the court brought by the Contractor to challenge a notice of termination issued by the Employer. The Contractor terminated the contract for civil and electrical works in January 2021, citing delays in payment. The Employer issued a show-cause notice in June 2021, initiating its own termination proceedings. The contract included a dispute resolution mechanism, specifying steps for amicable settlement and arbitration. The Contractor filed a writ petition challenging the employer's right to terminate the contract, arguing that they had already terminated it and that the Employer had no authority to initiate proceedings to terminate the same. The Contractor also argued that the Employer, being a party to the contract, could not decide on the legality of the termination. The Contractor further sought a declaration that the contract had been validly terminated by it and that the Employer's show-cause notice was invalid, and for directions against the invocation of the bank guarantees. The Employer countered that the Contractor had breached the contract and that their termination proceedings were justified. The Employer argued that the Contractor in any event should have availed itself to the dispute resolution mechanism provided for in the contract, and that the proceedings in court were premature given that the Employer had only issued a show-cause notice at that point. The Employer further argued that payments were made in accordance with the contract, that the Contractor's delay to the works and termination were invalid and that the Contractor's continued defaults forced the Employer to initiate termination proceedings. The court considered whether the writ jurisdiction should be exercised and found that there was no public law element to entertain the writ petition. Accordingly, the Contractor's writ petition was dismissed. Without touching the merits of the matter, the court further held that the matter should be resolved through the contractual dispute resolution mechanism rather than in court, on the basis that the Employer had only issued a notice which the Contractor could respond to. The court cited several factors, including the complicated nature of the dispute, the availability of alternative remedies, and the principle that courts should generally avoid interfering in contractual matters.",Link,https://indiankanoon.org/doc/156016643/
11,2024,Bosch Munitech (Pty) Ltd v Govan Mbeki Municipality (33425/16) [2024] ZAGPPHC 531,"High Court of South Africa, Gauteng",1999 Red,"Judgment concerning a dispute centred on a contract to execute civil engineering works for the refurbishment of the eMbalenhle Water Works. Notably, it was common cause between the parties that neither party signed the (FIDIC) contract and the plaintiff did not plead any of the terms of the contract in its pleaded case. The plaintiff sought payment and interest for expenses relating to site establishment and standing time, not construction on the basis that the plaintiff never provided any service. The defendant denied the validity and legality of the contract and instituted counterclaims. A special plea of prescription was raised in response to the counterclaims, which the defendant argued was without merit on the basis that the plaintiff was aware of the illegality or should have reasonably known. Whether the claim and counterclaim succeed, revolved largely around the legality challenge made by the Defendant against the validity of the contract – if unsuccessful, it would be the end of the matter for the Defendant. The court found that the defendant's legality challenge was unduly delayed (7 years) and that the defendant had not provided a sufficient explanation for the delay. The court further concluded not to exercise its discretion to condone the undue delay. It followed that the Defendant's defence had not been proven and accordingly its counterclaim also failed In addition, given the court's acceptance of the Plaintiff's version (unrefuted by objective evidence) the defence on the merits also failed The Plaintiff's claim (including loss of profit) and interest was granted with costs and the Defendant's legality challenge to the validity of the contract dismissed with costs.",Link,https://www.saflii.org/za/cases/ZAGPPHC/2024/531.html
11,2024,"The Roads Department of Regional Development and Infrastructure Georgia v Todini Construzioni Generali SpA, ICC Case No. 24851/MHM/HBH - Judgment Case No. 22/14963 (4 June 2024)",Paris Court of Appeal,Not specified,"Judgment of the Paris Court of Appeal, regarding an application for an annulment of an ICC arbitral award, following a dispute concerning the termination of a contract for a road construction project in Georgia. The appeal for an annulment was brought by Todini on four grounds: (1) lack of jurisdiction by the tribunal; (2) failure by the tribunal to comply with its mission; (3) breach of the principle of adversarial proceedings; and (4) conflict with the recognition or enforcement of the disputed award with international public policy. As to the first complaint concerning jurisdiction, Todini argued that the dispute was not referred to arbitration in accordance with the dispute resolution mechanism provided for under the contract, on the basis that the Roads Department had referred the matter to the DB and then brought the arbitration proceedings before the DB determination was issued. The Department asserted that this issue related to the admissibility of claims and not the arbitral jurisdiction. The court held that the issue was that of admissibility of the claims and not within the scope of an annulment, on the basis that temporarily overlapping proceedings do not deprive the tribunal of its jurisdiction. The second ground failed and was rejected on the basis of the absence of a factual basis, and so did the third and fourth grounds. The appeal was dismissed with costs.",Link*,https://jusmundi.com/en/document/decision/fr-the-roads-department-of-the-ministry-of-regional-development-and-infrastructure-of-georgia-v-todini-construzioni-generali-spa-arret-de-la-cour-dappel-de-paris-pole-5-chambre-16-22-14963-tuesday-4th-june-2024
11,2024,"Sdb Diamond Bourse vs Psp Project Ltd on 9 May, 2024, C/FA/1309/2024","High Court of Gujarat at Ahmedabad, India",Not specified,"An Appeal against a judgment and order passed by the Commercial Court which partly allowed interim relief under Section 9 of the Arbitration and Conciliation Act, 1996 and directed the appellant to furnish irrevocable bank guarantee and to restrain from auctioning, transferring or creating third party rights in the remaining portion of the SDB Diamond Bourse. The appeal was brought on the ground that the directions of the order were in contradiction to terms and conditions of the contract, which already prescribes the procedure for the final bill. The appellant argued that the Commercial Court erred in its interpretation of the contract terms - the contract provided that the contract provided that the performance certificate could only be issued (within 28 days) after the defects liability period is over and only thereafter is the final payment required and so the Respondent was not entitled to interim relief. The Respondent argued that interim relief granted by the Commercial Court under Section 9 application (of the 1996 Act) fell within the discretion of the court which required the court to balance the equities of the parties on even grounds and preserve the sanctity of the arbitral process. Further, if the discretion was exercised reasonably and in a judicial manner, a different view taken by a trial court would not necessarily justify an interference with such discretion. The court considered the terms of the contract, and agreed with the appellant that the stage of payment for the final bill had not been reached at the point when the Respondent approached the Commercial Court. The Court further held that pursuant to Sub-Clause 11.9 of the contract, the Contractor's obligations are only considered completed when the performance certificate is issued (i.e., acceptance of the works), which is subject to the Contractor supplying the necessary documents, completing all tests and works, and addressing all snags and defects. The court found that on the basis that there existed a dispute regarding items of the final bill (i.e., was not finalised) it was not open for the Commercial Court to issue interim measures as it could not be said that the Respondent had a prima facie case and that the balance of convenience lied in its favour. The court further held that the Commercial Court failed to exercise its discretion under Section 9 which required it to balance the equities between the parties. Accordingly, the appeal was allowed, and the Commercial Court's order was set aside and the interim relief granted quashed It was further noted that the observations made in the judgment would not affect any future proceedings between the parties.",Link,https://indiankanoon.org/doc/134772396/
11,2024,Strabag International GMBH v National Irrigation Authority (Formerly the National Irrigation Board) (Commercial Case E219 of 2023) [2024] KEHC 3744 (KLR) (Commercial and Tax) (19 April 2024) (Ruling),"In the High Court at Nairobi, Republic of Kenya",Not specified,"Judgment for an application for summary judgment against the defendant, to enforce five DB decisions. The plaintiff's case was that the 5 DB decisions were binding on the defendant, and on the basis that none had been revised, the defendant was to promptly give effect to the decisions pursuant to Sub-Clause 20.4 of the contract. The plaintiff also asserted that its claim was liquidated and thus appropriate to be determined summarily and that the defendant lacked any reasonable or triable defence for non-payment. The defendant admitted that the five decisions were issued, but opposed the application on the basis that notices of dissatisfaction were issued, accordingly it took the position that this application was premature for failure to exhaust the internal dispute mechanisms under Sub-Clause 20.5, which required parties to submit to amicable settlement and finally arbitration. The defendant further averred that it had a good defence. The court noted that whilst the defendant issued the notices of dissatisfaction, there was no effort to complete the dispute resolution clauses pursuant to Sub-Clauses 20.4 – 20.6. The court found that the defendant failed to raise any triable or reasonable defence to merit a trial, and at the time of this application had yet to invoke the arbitration clause which the court found to be out of time. The court confirmed that plaintiff's claim was a liquidated claim, and the DB decisions were binding on both parties who were to promptly give effect to the decisions which were not revised and were final. Summary judgment was granted, and the plaintiff was awarded the costs of the application.",Link,https://kenyalaw.org/caselaw/cases/view/285826/
11,2024,Machiri Limited v Kenya Airport Authority (Commercial Arbitration Cause E057 & E053 of 2023 (Consolidated)) [2024] KEHC 3303 (KLR) (Commercial and Tax) (21 March 2024) (Ruling),"In the High Court at Nairobi, Republic of Kenya",1995 Orange,"Judgment concerning two applications: (1) the respondent's application to set aside the arbitral award; and (2) the claimant's application for enforcement of the aforesaid arbitral award. Application to set aside. The respondent contended that the tribunal failed to consider the effect of the agreement and the tender provisions on the FIDIC Conditions of Contract, instead the tribunal was said to have faulted by holding that the contract was governed only by the 1995 Orange Book. Accordingly, the respondent asserted that the tribunal considered matters that were not before it, that the tribunal re-wrote the contract between the parties and that the award was against the public policy of Kenya in respect of its decision regarding the rate of interest (computed monthly as opposed to the prevailing lending rates). The claimant opposed the application on the basis that the agreement between the parties took precedence over all other agreements, Sub-Clause 8 of the contract provided for a variation of price, and that the eot was granted pursuant to Sub-Clauses 2.2, 3.5 and 8.3 of the contract due to delays occasioned by the respondent (for which the award allowed for additional costs). As to the respondent's allegation that the award was against public policy, the claimant averred that the arbitration act granted the tribunal the discretion to determine the rate of interest to be applied to the award, that Sub-Clause 13.8 of the contract provided for the agreed interest rate and that the PPDR (Public Procurement and Disposal Regulations) provided that interest would be commercial rates. The main issue before the court for determination was whether or not the applicant (respondent) met the threshold for setting aside the arbitral award. The court found that the respondent failed to demonstrate how the award offended public policy, that there existed no sufficient grounds to warrant setting aside the arbitral award. Accordingly, the threshold was not met. Consequently, claimant's application for recognition and enforcement of the said arbitral award was allowed, and the respondent was ordered to pay the costs of both applications.",Link,https://kenyalaw.org/caselaw/cases/view/284904/
11,2024,"Micheletti Company Ltd v Ministry of Youth and Sports of Ghana, ICC Case No. 27732/CPB (8 March 2024)","ICC, seated in Nairobi",1999 Silver,"This is a partial award, resolved under the ICC rules, which determined two issues: (1) the issue of the Tribunal's jurisdiction; and (2) the issue as to whether the Claimant's claim was statutorily time barred. The governing law of the arbitration was the laws of the Republic of Ghana. The Arbitration Agreement did not specify the seat of arbitration, and following the parties' failure to agree the seat, the ICC Court in accordance with Article 18(1) of the Rules, fixed Nairobi, Kenya, as the seat of the arbitration. The Respondent objected to the Tribunal's jurisdiction on the basis that it asserted that the Claimant had failed to exhaust the contractual dispute resolution mechanism, in particular, that the dispute should first be submitted to a DAB and attempt amicable settlement, before it may be referred to an arbitral tribunal, pursuant to GCC Sub-clauses 20.2 and 20.4. The Claimant argued that the Respondent waived its rights to amicable settlement due to its failure to respond to and raise concerns on the dispute resolution mechanism. Without prejudice to its primary position concerning jurisdiction, the Respondent further argued that the Claimant's claim was statutorily time barred. The Claimant asserted that (1) pursuant to GCC Sub-Clause 14.8 it was entitled to payment without formal notice and without prejudice to any other right or remedy, and that the Limitation Act of Ghana therefore does not apply; (2) that the Respondent, by reference to a letter, admitted liability and did not act upon it; and (3) that under the Kenya Arbitration Act the claim was not time barred. The Tribunal declared that the Claimant had satisfied the requirements under Clause 20 and that the Tribunal had jurisdiction. Further, the Tribunal declared that the Claimant's claims were statutorily time barred under Section 4(1) of the Limitation Act of Ghana and all claims and relief sought by the Claimant were rendered inadmissible and were dismissed.",Link*,https://jusmundi.com/en/document/decision/en-micheletti-company-limited-v-ministry-of-youth-and-sports-of-ghana-partial-award-friday-8th-march-2024#decision_67531?su=/en/search?query=FIDIC%20cases&page=2&lang=en&document-types[0]=case&date[from]=2022
12,2024,"Decizia nr. 335/2024, 14 February 2024","High Court of Cassation and Justice, 2nd Civil Section, Romania",Not specified,"Appeal against an arbitration award and civil judgment on grounds of validity. The contract between the parties was about the construction of a road. The Claimant (the Contractor) was contracted by the Respondent (the Employer) to construct a road. The contract was terminated by the Contractor on 28 July 2007. The Contractor then filed for arbitration at the Commission for the Adjudication of Disputes (CAD), claiming unpaid sums from the Employer. The CAD decision was issued on 20 January 2018 and found that the termination of the contract by the Contractor was justified It ordered the Employer to pay the Contractor various sums, including guarantees, damages, retained amounts, and interest. The Employer appealed the decision, which appeal was issued in 2019. The CAD decision was upheld on grounds that it was final and binding. The Employer sought to annul the arbitration ruling in the Court of Appeal of Bucharest, which dismissed the action for annulment. The Employer then appealed the civil sentence dismissing the annulment action. They challenged the validity of the civil sentence and the arbitration ruling, as well as the conduct of the pre-arbitration procedure. The court found that the Employer had failed to provide specific criticisms of illegality in the contested decision, relying instead on general dissatisfaction with the conduct of the pre-arbitration procedure and the arbitral sentence. Further, the court found that the arbitral award had been given in compliance with the mandatory legal provisions, since the CAD decision was issued after the fulfilment of the 84-day deadline, provided by Clause 20.2 from the FIDIC general conditions. The court dismissed the appeal on the grounds that the Employer's arguments were essentially a reiteration of the reasons developed in the annulment and sought a reassessment of the facts, which was not possible at appeal stage.",Link,https://www.scj.ro/1093/Detalii-jurisprudenta?customQuery%5B0%5D.Key=id&customQuery%5B0%5D.Value=215522#highlight=
12,2024,"MER Sint Maarten BV v. Sint Maarten Telephone Company NV, 06 February 2024",Court of Appeal in Amsterdam,1999 Yellow,"Judgment by the Court of Appeal for the annulment of an ICC arbitral award (judgment relating to the appeal against confirmation of enforcement proceedings dated 13 September 2023, elsewhere on this table). MER's claim in the arbitration related to compensation for work done as at (interim) termination, pursuant to GCC Sub-Clause 15.3, which claim the Respondent asserted was time barred pursuant to GCC Sub-Clause 20.1 (and that the tribunal should not have decided on the claim, or at least should have rejected it) and that an Engineer's valuation attracts res judicata. The claims were partially granted and the counterclaims were dismissed – i.e., MER was entitled to an eot, and that TELEM wrongfully terminated the agreement, wrongfully called the bank guarantee and breached its payment obligations. The annulment was sought by TELEM (following an unsuccessful defence to enforcement proceeding brought by MER) on the following grounds: (1) the arbitral tribunal failed to comply with its mandate; (2) the award was not reasoned; and (3) the award, or the manner in which it was reached, was contrary to public policy. The court noted that in its assessment the court must assume that annulment proceedings cannot be used as a form of appeal, unless the award is contrary to public policy the court is not free to review the content of the arbitral award, and that it had to exercise restraint. The court rejected all grounds and the annulment was dismissed with costs. An appeal in cassation against this judgment was then filed by TELEM on 6 May 2024 – reported on below.",Link*,https://jusmundi.com/en/document/decision/nl-mer-sint-maarten-bv-v-sint-maarten-telephone-company-nv-uitspraak-van-het-gerechtshof-in-amsterdam-tuesday-6th-february-2024#decision_62194
12,2024,"Decizia nr. 574/2024, 01 February 2024","High Court of Cassation and Justice, Section for Administrative and Fiscal Litigation, Romania",Not specified,"Appeal against a decision to overturn a fine imposed by the Respondent (the Employer) on the grounds that the Claimant (the Contractor) had deviated from the standards outlined in the terms of the contract. The dispute arose from a contract between the parties relating to the rehabilitation of the railway line Frontiera - Curtici - Simeria, part of the IV Pan-European Corridor for trains with a maximum speed of 160 km/h. The contract included certain standards in the technical specifications that were not accompanied by the phrase ""or equivalent"". The Employer argued that this required the Contractor to follow exactly the specified standards, and that if the Contractor used a different but equivalent standard, it would be considered a deviation from the contract's terms. The Employer believed that this deviation was significant enough to warrant a financial penalty, which they imposed as a fine. The Contractor disagreed with this assessment and appealed the decision in court. The court of first instance overturned the fine due to irregularity. The Employer appealed the court's decision, at which point the case was transferred to the Bucharest Court of Appeal. The Employer argued that the court misinterpreted the relevant European Commission guidelines and applied the fine incorrectly; and mitigating circumstances should have been considered when determining the level of the correction. They emphasized that the Commission's recommendations were not imperative rules of law and that national authorities had discretion in applying financial corrections based on the specific circumstances of each case. The court rejected the Employer's appeal, finding that: the fine was appropriate and proportionate based on the circumstances of the case; the technical requirements in the procurement contract did not create unjustified obstacles for bidders; and the Employer's arguments were unfounded and the appealed sentence was legal. The court upheld the original decision.",Link,https://www.scj.ro/1093/Detalii-jurisprudenta?customQuery%5B0%5D.Key=id&customQuery%5B0%5D.Value=216559
12,2024,"Sojitz-L&T Consortium vs Dedicated Freight Corridor Corporation of India Ltd on 18 January 2024, O.M.P.(I)(COMM.) 27/2024","High Court of Delhi at New Delhi, India",Comprehensive Economic Partnership Agreement viz. FIDIC 1999 Red,"A judgment of an application under Section 9 of the 1996 Act for interim measures, including relief to restrain the Respondents from invoking or cashing retention bank guarantees. The Contractor (petitioner) had executed a contract with the Employer (Respondent) to design and construct a railway line and accordingly furnished retention and performance bank guarantees. The employer had withheld certain amounts from interim payment certificates (IPCs), claiming that the contractor was entitled to a reduced basic customs duty (BCD) on imported rails due to a comprehensive economic partnership agreement (CEPA). The Engineer determined that there was no Change in Law with respect to the applicable Custom Duty, that the funds withheld should be returned to the Contractor (to be certified in the next IPC) and that the contractual (Clause 20) dispute resolution procedure (DAB) was available to Respondent if the latter was aggrieved by the said decision. The Respondent did not follow the Clause 20 procedure and following the above the Engineer reviewed the decision. On review the Engineer came to a different finding, i.e., that sums were due from the Contractor. The court stated that the Engineer did not have the power under the contract to review its earlier decision and that the Respondent should have followed the procedure set us under Clause 20 if it was aggrieved by the said decision. The court also found no breach by the Contractor of its obligations. On the above basis the Respondent was restrained by the court (until the next hearing) from invoking and/or encashing any of the retention bank guarantees.",Link,https://indiankanoon.org/doc/57042674/
12,2024,"Sew Infrastructure Ltd v Ethiopian Roads Authority, ICC Case No. 23274/PTA, Case no. 21/14563 (9 January 2024)",Paris Court of Appeal,Not specified,"This is a judgment of the Paris Court of Appeal, regarding the annulment of a final arbitration award and an additional award, both resolved under the ICC Rules, in a dispute over a project concerning road development and maintenance. The dispute was submitted for determination pursuant to the contractual dispute resolution mechanism in accordance with Sub-Clauses 20.2- 20.4, and was finally following a notice of dissatisfaction, referred to and resolved under arbitration pursuant to Sub-Clause 20.6. Sew was ordered to pay the ERA certain sums, including interest and half of the ICC arbitration costs. Sew filed an appeal for annulment of this award before this court and submitted a request to the arbitral tribunal for correction. The additional award dismissed the motion for rectification. This was followed by an application for an annulment of that additional award. The ERA raised inadmissibility of Sew's claims. Sew sought in the first instance the joinder of the two proceedings for annulment, which was not opposed by the ERA and which was granted by the court in the interests of proper administration of justice. Sew further invoked five grounds of annulment, alleging: (1) a mis-assessment by the arbitral tribunal of its jurisdiction ; (2) irregularity of its constitution; (3) failure to comply with its mission/task; (4) the infringement of the principle of adversarial proceedings; and (5) breach of the recognition or enforcement of the disputed award with international public policy. All of which were dismissed by the court.",Link*,https://jusmundi.com/en/document/decision/fr-sew-infrastructure-ltd-v-ethiopian-roads-authority-arret-de-la-cour-dappel-de-paris-21-14563-tuesday-9th-january-2024
